DATE,value,element,STATION_ID
1897-01-01,18.9,TMAX,USC00412243
1897-01-02,20.6,TMAX,USC00412243
1897-01-03,22.2,TMAX,USC00412243
1897-01-04,7.2,TMAX,USC00412243
1897-01-05,7.2,TMAX,USC00412243
1897-01-06,6.7,TMAX,USC00412243
1897-01-07,8.9,TMAX,USC00412243
1897-01-08,16.7,TMAX,USC00412243
1897-01-09,18.3,TMAX,USC00412243
1897-01-10,20.0,TMAX,USC00412243
1897-01-11,20.0,TMAX,USC00412243
1897-01-12,21.1,TMAX,USC00412243
1897-01-13,17.2,TMAX,USC00412243
1897-01-14,21.1,TMAX,USC00412243
1897-01-15,10.0,TMAX,USC00412243
1897-01-16,11.1,TMAX,USC00412243
1897-01-17,20.0,TMAX,USC00412243
1897-01-18,11.1,TMAX,USC00412243
1897-01-19,10.6,TMAX,USC00412243
1897-01-20,5.0,TMAX,USC00412243
1897-01-21,4.4,TMAX,USC00412243
1897-01-22,11.1,TMAX,USC00412243
1897-01-23,16.1,TMAX,USC00412243
1897-01-24,13.3,TMAX,USC00412243
1897-01-25,5.6,TMAX,USC00412243
1897-01-26,-5.6,TMAX,USC00412243
1897-01-27,-6.1,TMAX,USC00412243
1897-01-28,-2.2,TMAX,USC00412243
1897-01-29,0.6,TMAX,USC00412243
1897-01-30,2.2,TMAX,USC00412243
1897-01-31,2.2,TMAX,USC00412243
1897-01-01,6.1,TMIN,USC00412243
1897-01-02,11.7,TMIN,USC00412243
1897-01-03,0.6,TMIN,USC00412243
1897-01-04,-2.8,TMIN,USC00412243
1897-01-05,-4.4,TMIN,USC00412243
1897-01-06,-5.6,TMIN,USC00412243
1897-01-07,-5.6,TMIN,USC00412243
1897-01-08,0.0,TMIN,USC00412243
1897-01-09,0.6,TMIN,USC00412243
1897-01-10,2.2,TMIN,USC00412243
1897-01-11,2.2,TMIN,USC00412243
1897-01-12,2.2,TMIN,USC00412243
1897-01-13,7.2,TMIN,USC00412243
1897-01-14,10.0,TMIN,USC00412243
1897-01-15,3.9,TMIN,USC00412243
1897-01-16,4.4,TMIN,USC00412243
1897-01-17,7.2,TMIN,USC00412243
1897-01-18,-0.6,TMIN,USC00412243
1897-01-19,-1.1,TMIN,USC00412243
1897-01-20,0.0,TMIN,USC00412243
1897-01-21,0.6,TMIN,USC00412243
1897-01-22,0.6,TMIN,USC00412243
1897-01-23,-0.6,TMIN,USC00412243
1897-01-24,1.1,TMIN,USC00412243
1897-01-25,-11.1,TMIN,USC00412243
1897-01-26,-10.6,TMIN,USC00412243
1897-01-27,-12.8,TMIN,USC00412243
1897-01-28,-13.3,TMIN,USC00412243
1897-01-29,-10.6,TMIN,USC00412243
1897-01-30,-5.6,TMIN,USC00412243
1897-01-31,-2.8,TMIN,USC00412243
1897-01-01,13.0,PRCP,USC00412243
1897-01-02,5.3,PRCP,USC00412243
1897-01-03,0.0,PRCP,USC00412243
1897-01-04,0.0,PRCP,USC00412243
1897-01-05,0.0,PRCP,USC00412243
1897-01-06,0.0,PRCP,USC00412243
1897-01-07,0.0,PRCP,USC00412243
1897-01-08,0.0,PRCP,USC00412243
1897-01-09,0.0,PRCP,USC00412243
1897-01-10,0.0,PRCP,USC00412243
1897-01-11,0.0,PRCP,USC00412243
1897-01-12,3.0,PRCP,USC00412243
1897-01-13,0.0,PRCP,USC00412243
1897-01-14,17.0,PRCP,USC00412243
1897-01-15,2.8,PRCP,USC00412243
1897-01-16,18.3,PRCP,USC00412243
1897-01-17,0.0,PRCP,USC00412243
1897-01-18,0.0,PRCP,USC00412243
1897-01-19,11.4,PRCP,USC00412243
1897-01-20,0.0,PRCP,USC00412243
1897-01-21,0.0,PRCP,USC00412243
1897-01-22,0.0,PRCP,USC00412243
1897-01-23,0.5,PRCP,USC00412243
1897-01-24,0.0,PRCP,USC00412243
1897-01-25,0.0,PRCP,USC00412243
1897-01-26,0.8,PRCP,USC00412243
1897-01-27,0.0,PRCP,USC00412243
